sample	type	UpInMDS_StrictCutoff
BA2733R	n	4.894371201820498e-4
BA2995R	n	0.10523301891020291
BA2069R	n	-0.012564410939493842
BA2100R	y	0.07446416236787491
BA2953R	y	0.1515169722576014
BA2681R	n	0.326798506237921
BA2248R	n	-0.1115226309853417
BA2832R	n	0.2466906302754683
BA2308R	n	0.019689441906463122
BA2413R	n	-0.10948691055228621
BA2701R	n	0.23909847322881914
BA2634R	n	0.1506458604248939
BA2937R	n	0.42946341644279956
BA2600R	n	0.22233649865603447
BA2019R	n	0.27770871160422916
BA2412R	n	0.17587900321643088
BA2334R	n	0.17350913956356548
BA2050R	n	0.2198104690821432
BA3230R	n	0.35825083070637803
BA2481R	y	0.4777182609075428
BA2731R	n	-0.012893574394205428
BA2418R	n	-0.29793379244278906
BA2294R	n	0.18135668799537963
BA2816R	n	-0.04716686755074996
BA2814R	n	-0.07153512908774141
BA2631R	n	0.17765741053818992
BA2023R	n	0.171675514322678
BA2375R	n	0.25751702551096417
BA2485R	n	-0.15274076955076693
BA2455R	n	-0.11593366110576639
BA2636R	y	0.2989866021694809
BA2325R	n	0.2553064794793124
BA2169R	y	0.037508017475650274
BA2156R	n	0.1419675355942756
BA2511R	n	0.29216151921591815
BA2168R	n	-0.06193089573566173
BA2505R	n	0.05570413328589383
BA2860R	y	0.3789898687946067
BA2871R	n	0.07351147235988945
BA2655R	n	0.5299145737570592
BA2227R	n	-0.021147751375443266
BA2812R	n	0.23755159663936257
BA2125R	n	0.4918831738813023
BA2603R	n	0.3864846319226377
BA2808R	n	-0.19025731602710738
BA2282R	n	0.12524861533103016
BA2482R	n	0.15757818731332449
BA2822R	n	-0.0583592671707757
BA2594R	n	0.3526427172002651
BA2747R	n	-0.3359599417607396
BA2561R	n	0.12738001396758955
BA2094R	n	0.007574760358266551
BA2567R	n	0.1953613116272044
BA2906R	n	-0.32980520436241656
BA2956R	n	-0.13962753739927336
BA2474R	n	0.04941841403775474
BA2065R	n	-0.007947102163562071
BA2737R	n	-0.08575244873405906
BA2463R	n	-0.15264591733905683
BA2110R	n	0.108710440185661
BA2992R	n	0.020328502308203145
BA2220R	n	0.3904982074947109
BA2720R	n	0.46329672816308654
BA2063R	n	0.03748314011329453
BA2772R	n	-0.10157717520988116
BA2935R	n	0.04744153862739238
BA2260R	n	0.06930233217833448
BA2787R	n	0.46916002459513606
BA2676R	y	0.2758881618677236
BA2948R	y	0.41286580848174204
BA3296R	n	0.531501750837173
BA2524R	n	-0.01696506329244646
BA2811R	n	-0.06194094587748474
BA2540R	n	-0.274865485090583
BA2928R	n	-0.26243035973458967
BA2302R	n	-0.13146782025650722
BA2792R	y	0.4033668242691528
BA2651R	n	-0.22259472937601105
BA2595R	n	-0.09559852289285903
BA2619R	n	0.3128224063647518
BA3013R	n	0.2542794919248448
BA2405R	n	-0.2856216905498271
BA2856R	n	0.2057182663457372
BA2377R	n	-0.3152603671789048
BA2499R	y	0.24753884041715912
BA3023R	n	0.08765309596046245
BA2095R	n	-0.15091612175050448
BA2275R	n	0.42366144088506047
BA2901R	n	0.19786290324093875
BA2221R	n	0.5427778872303364
BA2387R	n	-0.38392507426146455
BA2657R	y	0.23957976435298514
BA2962R	n	-0.3340063001856667
BA2195R	y	0.3403880424856449
BA2688R	n	0.3433911203875914
BA2420R	n	0.20337031379136655
BA2727R	n	-0.33573222093648686
BA2756R	n	0.07154954744453053
BA2122R	n	0.391045686563062
BA2053R	n	-0.09679096827727163
BA2080R	n	0.197592841557315
BA2415R	n	0.5578254905771539
BA2081R	n	0.07841578059782518
BA2354R	n	0.20741804314545462
BA3273R	n	0.03378716687862001
BA2893R	n	-0.025012610301687947
BA2044R	n	0.31549203496223877
BA2309R	n	0.48193610062529874
BA2489R	y	0.312819141783779
BA2908R	n	-0.22848955610844193
BA2054R	n	0.4122909320958057
BA2872R	n	0.5113440197235597
BA2526R	n	-0.4045040642135168
BA3145R	n	-0.1535655190713265
BA2041R	n	0.33515518988680637
BA2096R	n	0.40491187358975456
BA2464R	n	0.08061019454321204
BA2902R	n	-0.06747114679496058
BA2541R	n	0.03630789053169009
BA2143R	y	0.47950571885220994
BA2769R	y	0.29676288330738465
BA2843R	n	-0.015250110923964763
BA2497R	n	0.04108717162291341
BA2718R	n	0.0045385617347749214
BA2575R	n	0.0967631814147046
BA2593R	n	-0.21716432773204591
BA2791R	n	0.17746310910515792
BA2620R	n	0.2601862641971649
BA2629R	n	-0.23349939845418344
BA2870R	y	-0.17144389833114737
BA2423R	n	-0.015206264703497865
BA2682R	n	0.04654463080433735
BA2276R	n	0.4447313905146144
BA2348R	n	0.3555777259719436
BA2709R	n	0.2018585170513334
BA2789R	n	-0.16113995438810516
BA2694R	y	0.11853719843285938
BA2722R	y	0.321816633998288
BA2538R	n	0.12315869076521958
BA2583R	n	0.19996674631061376
BA2292R	y	0.44245533814318055
BA2806R	n	-0.09210775939500485
BA2153R	n	-0.13571698418450676
BA2674R	n	-0.0193784551231069
BA2809R	n	-0.13485356291417364
BA3025R	n	-0.04756010547496203
BA2523R	n	-0.17575278670829445
BA3027R	n	0.3803707434538147
BA2441R	y	-0.0828812520806238
BA2514R	n	0.3682117885707215
BA2695R	n	-0.01052038791441371
BA2520R	n	-0.0891854167541848
BA2479R	n	0.12995899116491594
BA2281R	n	-0.12024632945087292
BA2932R	n	-0.11148759875016516
BA2123R	n	0.23202372352618378
BA2844R	n	-0.0039034469609958494
BA2660R	n	0.03594849975655157
BA2836R	n	0.15693164169896473
BA2714R	n	-0.04706528586375417
BA3317R	n	-0.22739759672326115
BA2440R	n	0.4454231653129085
BA2036R	n	-0.08864209802103969
BA2828R	n	0.06741707206529775
BA2251R	n	-0.12532929449157396
BA2952R	n	-0.024986337766315193
BA2410R	n	0.0011007795207942923
BA2139R	n	0.15581518789172538
BA2051R	n	0.09099200698475135
BA2532R	n	-0.09721314323582474
BA2986R	n	-0.23149418385859707
BA2494R	n	0.3014215547473492
BA2515R	n	0.41103279411138133
BA2748R	n	0.19319279095352063
BA2577R	n	0.19483613407111725
BA2622R	n	0.010273172214391384
BA2758R	n	-0.036376918172297774
BA2930R	n	0.0055274082680736355
BA2970R	n	0.3339400062042007
BA2839R	y	-0.03862727177379439
BA2868R	n	-0.027316548923615194
BA3011R	n	0.026175970238745423
BA2052R	n	0.3370516000584865
BA2510R	n	-0.2546745482087656
BA2691R	n	0.1488978253020547
BA2374R	n	-0.044940467263636166
BA2804R	n	0.21720838192233283
BA2670R	y	0.1129524464901967
BA2675R	n	-0.17021206290605229
BA2031R	n	-0.13570355562555672
BA2589R	n	0.16109408649794224
BA2198R	n	-0.06963081338079677
BA2066R	n	-0.24066467156503937
BA2344R	n	0.019385517042080483
BA2534R	n	-0.26915523030504634
BA2459R	n	0.22242864286216832
BA2229R	y	-0.10155422090303277
BA2559R	n	0.15025823412739822
BA2093R	n	0.047680373796034764
BA2000R	n	0.010104923305017235
BA2425R	n	0.2628521612208486
BA2905R	y	0.01278163192040134
BA2304R	n	0.19479294015587195
BA2976R	n	0.4097213582212677
BA2386R	n	0.04518311849814634
BA2879R	n	0.3745088630670427
BA3400R	n	-0.029703097431603927
BA2035R	n	-0.36657527071378393
BA2760R	n	0.22511425867705107
BA2201R	n	0.009242182356748353
BA2355R	n	0.28817784878359864
BA2113R	n	0.1918826468438185
BA2155R	n	0.027855171653859895
BA2955R	n	-0.06320619058795435
BA2502R	n	0.019514182089480817
BA2322R	n	0.12420141970359008
BA2020R	n	0.1419716355697454
BA2226R	n	0.14481760225613927
BA2376R	n	0.17102519696535282
BA2200R	n	0.14111495741603333
BA2121R	n	0.17557827682222188
BA2944R	n	-0.23352640112495826
BA2033R	y	0.36934297366485275
BA2867R	n	0.415742934553706
BA2089R	y	0.09665310514582122
BA2034R	y	-0.17447583164907632
BA2224R	y	0.3699005661702919
BA2470R	y	0.11315589657554803
BA2046R	n	0.1047214539045518
BA2972R	n	-0.03678720072410783
BA2978R	n	0.28244571075377356
BA2829R	n	0.22231193818617467
BA2579R	n	0.09660353248428975
BA2249R	n	0.0043829049020493935
BA2851R	n	0.10862064339676399
BA2587R	n	0.09007762710765611
BA2461R	n	0.5149932284183326
BA2024R	n	0.4802643250337281
BA2623R	n	-0.009004305493363205
BA2426R	n	0.011058246843745808
BA2271R	n	0.13616648011980828
BA3004R	n	0.16515718415576364
BA3010R	y	0.27824363460574913
BA2662R	n	0.10541298825324383
BA2280R	n	-0.02952348065657003
BA2277R	n	0.005439415390222553
BA2658R	n	0.0725035355575984
BA2512R	n	0.1140230807209474
BA2394R	n	-0.009458827544372625
BA2950R	n	-0.0677145113150029
BA2981R	n	0.27640794836995564
BA2934R	n	0.23055810521740497
BA2539R	n	0.5954959357864833
BA2786R	n	-0.02092154381042703
BA2256R	n	-0.26871251960805503
BA2483R	n	-0.16504272773073
BA3002R	n	-0.1588740560866479
BA2109R	n	0.30281281461361564
BA2242R	n	-0.19871940242193814
BA2132R	n	-0.019559419381738132
BA2618R	y	0.3974203844065902
BA2846R	n	-0.12499729617947673
BA2521R	n	0.021842584717585125
BA2885R	n	0.15877990721673954
BA2639R	n	0.05460505799008366
BA2775R	n	0.07899211448013481
BA2402R	n	0.09446743370710614
BA2097R	n	-0.04370212151746088
BA2399R	n	-0.26370766241886817
BA2850R	n	-0.2247529328051797
BA2993R	n	-0.1393711880620054
BA3322R	n	0.4725226182193405
BA2174R	n	0.4013522186375177
BA2004R	n	0.23591154311919799
BA3001R	n	-0.09585740658857006
BA2911R	n	-0.260148837148882
BA2311R	n	0.3111797127454064
BA3040R	n	0.4704871095783928
BA2724R	n	0.18865165190525165
BA2837R	n	0.2392749740021605
BA2821R	n	0.048723035580265917
BA2363R	n	0.21671758137064331
BA2233R	n	-0.23895906346474127
BA2744R	n	-0.11210608081448332
BA2501R	n	-0.16227975211057807
BA2301R	n	0.2982494240013571
BA2880R	n	0.567269398358037
BA2621R	n	0.3225946840106963
BA2852R	y	0.03236666913004423
BA2133R	n	0.13947715039582936
BA2473R	n	0.3265729104878383
BA2866R	n	0.2516641130156279
BA2212R	y	0.4017766866083568
BA2477R	n	-0.08927669555924701
BA2244R	n	-0.10513871799208413
BA3089R	n	-0.060180865754727836
BA2685R	y	0.31575282417070716
BA2273R	n	0.18918183358002516
BA2659R	n	0.4360546679498078
BA2124R	n	0.056264684425307285
BA2369R	y	0.34096019171936515
BA2400R	n	-0.1310853492903142
BA2762R	n	0.02412246197452146
BA2312R	n	0.07459449101602503
BA2813R	n	0.0506752632111801
BA2211R	n	-0.08375004107820765
BA2171R	n	-0.14558891603817775
BA2746R	n	0.0966658040871524
BA2798R	n	0.09906113918426887
BA2883R	n	0.11212844421015936
BA2288R	n	0.219905349135537
BA2801R	y	0.4085001690228926
BA3407R	n	0.4937794105534921
BA3030R	n	0.4543375407763588
BA2588R	n	0.1940921213698769
BA2296R	n	0.2680902523246412
BA2300R	n	0.027536172441324763
BA2903R	y	0.3785794019686377
BA2545R	n	0.49847671573679797
BA2840R	n	0.0621568146260366
BA2528R	n	0.37878596963312583
BA2646R	n	-0.05576350968114508
BA2240R	n	-0.27132283332531126
BA2926R	n	0.24728045666411613
BA2272R	n	0.0037386885545852484
BA2306R	n	-0.08289433003654345
BA2842R	n	0.3473391508280444
BA2855R	n	0.48140583258381375
BA2040R	n	0.49909084909679546
BA2765R	y	0.4137894844099297
BA2904R	n	0.11578453922037388
BA2726R	n	0.2090969599799919
BA2234R	n	-0.0036339595747847376
BA2022R	n	-0.10731422691188013
BA2228R	n	0.4837143590671142
BA2037R	n	0.26853445410592264
BA2184R	n	-0.049101175611133974
BA3009R	n	0.15103817034571088
BA2442R	n	0.07375231412899516
BA2882R	n	0.20542581756257253
BA2656R	n	-0.316877955128561
BA2705R	n	0.014434885480692695
BA2379R	n	0.41935091744556197
BA2663R	n	0.4258328866948183
BA2570R	n	-0.016782926783684628
BA2764R	n	0.5442588732541054
BA2209R	n	0.2178481251054854
BA2989R	n	0.07088309123087949
BA2261R	y	0.4211542990233756
BA2721R	n	0.36700985396627717
BA2728R	y	0.4261483629343482
BA2715R	y	0.244064751226302
BA2116R	y	0.2045507312621372
BA2469R	n	0.16206955361059602
BA2269R	n	0.39696550227644495
BA2098R	n	0.18166255860230585
BA2951R	n	0.08767608218805605
BA2778R	n	0.16270489939230898
BA2163R	n	0.130498231468651
BA3153R	n	-0.04198603529498078
BA2817R	n	-0.1320165072965127
BA2820R	n	0.00524024441070953
BA2704R	n	-0.18746949654311956
BA2723R	n	0.20608898283561577
BA2492R	n	0.011960617392369168
BA2088R	n	0.44185722540961436
BA3202R	n	0.5317278372325606
BA3139R	y	-0.13730883966013135
BA3285R	y	-0.09384277300273763
BA2584R	n	-0.0915053277556643
BA3079R	n	0.15934932559897796
BA2417R	n	-0.13590836542929624
BA2361R	n	0.45920294885796814
BA2450R	n	0.10403308850411161
BA2994R	n	-0.13117318307505782
BA2824R	n	-0.1055643443626439
BA2079R	n	0.42038209808390287
BA3099R	n	-0.13993207087050288
BA2552R	n	-0.3188459390897419
BA2472R	n	0.3756842723107629
BA2047R	n	-0.06914390184362429
BA2101R	n	0.04308118838199723
BA2082R	n	0.24666030541760975
BA2456R	n	-0.03543063865691804
BA2175R	n	0.4307554056894009
BA2507R	n	-0.2653354946107508
BA2563R	n	-0.1610391660423778
BA3164R	n	-0.1394056746207683
BA3235R	n	0.09698775189915496
BA2984R	n	-0.2257480292324354
BA2414R	n	0.11837595961244746
BA2697R	y	0.28297741493953593
BA2999R	n	0.048630448060705427
BA2644R	n	0.21289727441087322
BA2011R	n	0.19106921072216718
BA2217R	n	-0.09213504000617373
BA2454R	n	-0.21245407718261966
BA2776R	n	-0.20673271385831266
BA2218R	n	-0.2397843886705504
BA2135R	n	0.17893521709581595
BA2914R	n	0.2997348225173883
BA2500R	n	0.01564551135521562
BA2406R	n	0.43617197446817785
BA2830R	n	-0.18841360605027727
BA2353R	n	-0.12534124470081753
BA3108R	n	0.12318890792470076
BA2924R	n	0.15212671981630832
BA3192R	n	-0.24211007336921075
BA2303R	n	-0.0026246426850830154
BA2160R	n	-0.18908102526785797
BA2590R	n	-0.1501009922845672
BA3195R	n	-0.09479556515526248
BA2516R	n	0.2816502515082302
BA3036R	n	0.10003817949514167
BA2971R	n	0.35774187440509175
BA3410R	n	0.4319111626589032
BA3118R	n	-0.04290224775545814
BA3206R	n	0.21359464044646254
BA3217R	n	-0.2681691185527614
BA3405R	n	-0.025780695336066556
BA3306R	n	0.012161934505967085
BA3371R	n	0.15000887862038975
BA3413R	n	0.18922513153111586
BA3411R	y	0.3994128951232969
BA3133R	y	0.3490155681813448
BA3451R	n	0.15818955104916438
BA3286R	n	0.03194936817574315
BA3221R	n	0.2772869057382914
BA3212R	n	0.08417951674300128
BA3103R	n	-0.04111062684483802
BA3271R	n	0.1580898777704907
BA3152R	n	0.36369168798575846
BA3095R	n	0.04515947867282815
BA3251R	n	0.006713434168697672
BA3362R	n	-0.11660330325224555
BA3135R	n	-0.12492170077609255
BA3408R	y	0.12159388251038956
BA3187R	n	0.35175331380631847
BA3098R	n	0.08442249837042444
BA3435R	n	-0.11128461694414621
BA3261R	n	0.33384582717442707
BA3203R	n	0.25437168327490933
BA3174R	y	0.2190070370263307
BA3299R	n	0.08497294115485755
BA3347R	n	0.1822033408659095
BA3126R	n	0.13256847095164956
BA3380R	n	-0.25444745666936436
BA3114R	n	0.28264023740262545
BA3109R	n	0.3390321686535545
BA3452R	n	0.055964422563075246
BA3418R	y	0.0013642621661241869
BA3245R	y	0.25208782080504377
BA3085R	n	0.10597691893060042
BA3128R	n	-0.12683028895969706
BA3423R	n	-0.29427264801193276
BA3173R	n	-0.2908509567422631
BA3171R	n	0.276889539806213
BA3277R	n	0.190344003708746
BA3210R	y	0.24862826992572096
BA3157R	n	0.025363902126475258
BA3433R	n	-0.24083280905950685
BA3374R	n	-0.14513924442636622
BA3403R	n	-0.16770058361310522
BA3222R	n	0.22449018335813922
BA3450R	n	0.19258950329166025
BA3167R	n	-0.14755610560027427
BA3269R	n	-0.2228294404882188
BA3110R	n	-0.20527559175679055
BA3156R	n	0.1724431575910074
BA3226R	n	0.04383721317464779
BA3421R	n	0.25438520964188144
BA3232R	n	0.20082119223156594
BA3289R	n	0.2658805053924018
BA3430R	n	0.10963963232211801
BA3399R	n	0.38828254800449213
BA3384R	n	-0.1347205063661736
BA3427R	n	0.2148168369684551
BA3449R	y	0.07985811079323975
BA3163R	n	0.27507415457846557
BA3158R	n	-0.17890937648640529
BA3436R	n	-0.14464999587819652
