HSC/Prog-like	SPINK2
HSC/Prog-like	ANGPT1
HSC/Prog-like	GUCY1A3
HSC/Prog-like	FAM30A
HSC/Prog-like	MMRN1
HSC/Prog-like	TPT1
HSC/Prog-like	GAS5
HSC/Prog-like	RAB27B
HSC/Prog-like	TPM4
HSC/Prog-like	MSI2
HSC/Prog-like	GCSAML
HSC/Prog-like	SOCS2
HSC/Prog-like	EEF1A1
HSC/Prog-like	NRIP1
HSC/Prog-like	HOPX
HSC/Prog-like	CD34
HSC/Prog-like	TFPI
HSC/Prog-like	TPSD1
HSC/Prog-like	PDZRN4
HSC/Prog-like	PCNP
HSC/Prog-like	PTPRCAP
HSC/Prog-like	FLT3
HSC/Prog-like	SMIM24
HSC/Prog-like	SELENOP
HSC/Prog-like	DAPK1
HSC/Prog-like	SMYD3
HSC/Prog-like	ADGRG6
HSC/Prog-like	PIM1
HSC/Prog-like	MECOM
HSC/Prog-like	CEP70
GMP-like	PRTN3
GMP-like	MPO
GMP-like	CALR
GMP-like	CLEC5A
GMP-like	ELANE
GMP-like	POU4F1
GMP-like	TRH
GMP-like	TSPOAP1
GMP-like	CEBPE
GMP-like	LINC01835
GMP-like	NUCB2
GMP-like	CSF3R
GMP-like	RUNX1T1
GMP-like	CD38
GMP-like	PLPPR3
GMP-like	IGFBP2
GMP-like	PRRT4
GMP-like	SNHG5
GMP-like	FABP5
GMP-like	LOC100419170
GMP-like	CLEC11A
GMP-like	SERPINB1
GMP-like	AZU1
GMP-like	FBN2
GMP-like	HNRNPDL
GMP-like	HSPB1
GMP-like	RNA5-8S
GMP-like	THSD7A
GMP-like	C12orf57
GMP-like	FGFR1
Myeloid-like	LYZ
Myeloid-like	S100A9
Myeloid-like	S100A8
Myeloid-like	VCAN
Myeloid-like	MNDA
Myeloid-like	CSTA
Myeloid-like	SRGN
Myeloid-like	FCN1
Myeloid-like	FTL
Myeloid-like	MS4A6A
Myeloid-like	PSAP
Myeloid-like	IFI30
Myeloid-like	ANXA2
Myeloid-like	FGL2
Myeloid-like	S100A10
Myeloid-like	LGALS3
Myeloid-like	CTSS
Myeloid-like	ANXA1
Myeloid-like	ANXA5
Myeloid-like	AIF1
Myeloid-like	NCF2
Myeloid-like	LYST
Myeloid-like	FCER1G
Myeloid-like	CD68
Myeloid-like	TNFSF13B
Myeloid-like	VIM
Myeloid-like	IRS2
Myeloid-like	GRN
Myeloid-like	TNFAIP2
Myeloid-like	MCL1
HSC-like	NPTX2
HSC-like	H1F0
HSC-like	EMP1
HSC-like	MEIS1
HSC-like	CALCRL
HSC-like	TPSD1
HSC-like	TPT1
HSC-like	CRHBP
HSC-like	CLNK
HSC-like	TSC22D1
HSC-like	DST
HSC-like	NRIP1
HSC-like	ABCB1
HSC-like	GABRA4
HSC-like	ZBTB20
HSC-like	ABCA9
HSC-like	TPSB2
HSC-like	KMT2A
HSC-like	FAM30A
HSC-like	MEF2C
HSC-like	TMEM74
HSC-like	PDZRN4
HSC-like	ST3GAL1
HSC-like	XIRP2
HSC-like	RBPMS
HSC-like	TMEM25
HSC-like	C20orf203
HSC-like	GNG11
HSC-like	SLC6A13
HSC-like	HOPX
Progenitor-like	CDK6
Progenitor-like	HSP90AB1
Progenitor-like	SPINK2
Progenitor-like	EEF1B2
Progenitor-like	PCNP
Progenitor-like	TAPT1-AS1
Progenitor-like	HINT1
Progenitor-like	LRRC75A-AS1
Progenitor-like	DSE
Progenitor-like	PEBP1
Progenitor-like	LOC107984974
Progenitor-like	H2AFY
Progenitor-like	EEF1A1
Progenitor-like	SMIM24
Progenitor-like	PSME1
Progenitor-like	SOX4
Progenitor-like	LINC01623
Progenitor-like	EEF1G
Progenitor-like	EBPL
Progenitor-like	EIF4B
Progenitor-like	PARP1
Progenitor-like	MEST
Progenitor-like	TMEM70
Progenitor-like	TFDP2
Progenitor-like	ATP5G2
Progenitor-like	NAP1L1
Progenitor-like	MSI2
Progenitor-like	TPM4
Progenitor-like	SPN
Progenitor-like	SELL
Promono-like	DEFB1
Promono-like	RNASE2
Promono-like	MS4A3
Promono-like	SERPINB10
Promono-like	SESN3
Promono-like	ZFR
Promono-like	MRPL33
Promono-like	CTSG
Promono-like	SLC44A1
Promono-like	SLPI
Promono-like	FUT4
Promono-like	SRGN
Promono-like	CD70
Promono-like	PRLR
Promono-like	PLD3
Promono-like	LPL
Promono-like	RETN
Promono-like	TP53INP2
Promono-like	HSPA5
Promono-like	RNASE3
Promono-like	CCL23
Promono-like	EMB
Promono-like	ATP8B4
Promono-like	CLU
Promono-like	FAM107B
Promono-like	KBTBD11
Promono-like	CSTA
Promono-like	ANKRD28
Promono-like	PIWIL4
